strategy,domain,edge_size,n_bets,pnl,roi,win_rate,brier_model,brier_market,brier_improvement,max_drawdown,sharpe
calibrated,economics,1%,613.8,83135.95,831.36,54.18,0.21,0.2,-0.0,61.48,0.43
calibrated,economics,10%,469.8,309836.35,3098.36,58.64,0.2,0.2,0.0,35.56,2.38
calibrated,economics,3%,569.2,148521.79,1485.22,54.3,0.21,0.2,-0.0,60.9,0.71
calibrated,economics,5%,548.0,175070.19,1750.7,56.26,0.2,0.2,0.0,46.42,1.53
calibrated,elections,1%,606.2,214296.94,2142.97,56.24,0.21,0.21,0.0,54.2,1.18
calibrated,elections,10%,474.8,312237.06,3122.37,59.5,0.2,0.21,0.0,42.92,2.66
calibrated,elections,3%,589.8,193839.66,1938.4,56.42,0.21,0.21,0.0,59.44,1.26
calibrated,elections,5%,546.6,351958.31,3519.58,57.7,0.2,0.21,0.0,48.94,1.98
calibrated,sports,1%,606.2,214296.94,2142.97,56.24,0.21,0.21,0.0,54.2,1.18
calibrated,sports,10%,474.8,312237.06,3122.37,59.5,0.2,0.21,0.0,42.92,2.66
calibrated,sports,3%,589.8,193839.66,1938.4,56.42,0.21,0.21,0.0,59.44,1.26
calibrated,sports,5%,546.6,351958.31,3519.58,57.7,0.2,0.21,0.0,48.94,1.98
flb,economics,1%,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
flb,economics,10%,0.0,0.0,0.0,0.0,0.21,0.2,0.0,0.0,0.0
flb,economics,3%,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
flb,economics,5%,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
flb,elections,1%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,elections,10%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,elections,3%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,elections,5%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,sports,1%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,sports,10%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,sports,3%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
flb,sports,5%,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0
reference_class,economics,1%,642.6,76821.97,768.22,54.66,0.21,0.2,-0.0,59.74,0.94
reference_class,economics,10%,496.0,122600.84,1226.01,58.18,0.2,0.2,0.0,43.88,1.78
reference_class,economics,3%,620.0,70133.68,701.34,54.04,0.21,0.2,-0.0,63.52,0.58
reference_class,economics,5%,584.0,59811.23,598.11,55.54,0.21,0.2,-0.0,56.32,0.84
reference_class,elections,1%,633.0,82544.86,825.45,54.52,0.21,0.21,-0.0,63.5,0.59
reference_class,elections,10%,498.0,469837.88,4698.38,59.14,0.2,0.21,0.0,43.44,2.62
reference_class,elections,3%,632.0,207682.74,2076.83,55.74,0.21,0.21,0.0,54.02,1.48
reference_class,elections,5%,574.6,125072.74,1250.73,56.16,0.21,0.21,-0.0,53.08,1.2
reference_class,sports,1%,633.0,82544.86,825.45,54.52,0.21,0.21,-0.0,63.5,0.59
reference_class,sports,10%,498.0,469837.88,4698.38,59.14,0.2,0.21,0.0,43.44,2.62
reference_class,sports,3%,632.0,207682.74,2076.83,55.74,0.21,0.21,0.0,54.02,1.48
reference_class,sports,5%,574.6,125072.74,1250.73,56.16,0.21,0.21,-0.0,53.08,1.2
