strategy,domain,edge_size,n_trades,n_bets,pnl,roi,win_rate,brier_model,brier_market,brier_improvement,max_drawdown,sharpe
calibrated,elections,1%,1000,600,4186.41,41.86,54.2,0.212,0.2108,-0.0012,59.5,-0.2
calibrated,elections,3%,1000,599,21407.21,214.07,55.1,0.2118,0.2108,-0.001,53.0,0.53
calibrated,elections,5%,1000,553,39782.71,397.83,56.4,0.2077,0.2108,0.0032,47.7,1.13
calibrated,elections,10%,1000,470,120470.39,1204.7,61.9,0.208,0.2108,0.0028,42.4,2.61
flb,elections,1%,1000,0,0.0,0.0,0.0,0.2109891292990821,0.21082492576015693,0.0,0.0,0.0
flb,elections,3%,1000,0,0.0,0.0,0.0,0.21106155672413623,0.21082492576015693,0.0,0.0,0.0
flb,elections,5%,1000,0,0.0,0.0,0.0,0.21114655645162894,0.21082492576015693,0.0,0.0,0.0
flb,elections,10%,1000,0,0.0,0.0,0.0,0.21141911157777132,0.21082492576015693,0.0,0.0,0.0
reference_class,elections,1%,1000,624,6730.24,67.3,54.6,0.2132,0.2108,-0.0023,72.1,-0.1
reference_class,elections,3%,1000,647,317459.59,3174.6,58.1,0.2072,0.2108,0.0037,41.0,2.3
reference_class,elections,5%,1000,597,131461.03,1314.61,56.6,0.2109,0.2108,-0.0001,41.7,1.75
reference_class,elections,10%,1000,482,226225.19,2262.25,63.1,0.2048,0.2108,0.006,50.9,3.06
calibrated,elections,1%,1000,590,648318.01,6483.18,57.3,0.212,0.2131,0.0011,49.9,2.25
calibrated,elections,3%,1000,581,297133.94,2971.34,57.1,0.2124,0.2131,0.0008,56.5,1.85
calibrated,elections,5%,1000,541,678363.94,6783.64,58.8,0.2092,0.2131,0.004,49.3,2.82
calibrated,elections,10%,1000,478,655037.1,6550.37,60.3,0.2078,0.2131,0.0053,32.3,3.34
flb,elections,1%,1000,0,0.0,0.0,0.0,0.21340530369111485,0.2131241689666946,0.0,0.0,0.0
flb,elections,3%,1000,0,0.0,0.0,0.0,0.21351161203727376,0.2131241689666946,0.0,0.0,0.0
flb,elections,5%,1000,0,0.0,0.0,0.0,0.21362897196812064,0.2131241689666946,0.0,0.0,0.0
flb,elections,10%,1000,0,0.0,0.0,0.0,0.21398145791712997,0.2131241689666946,0.0,0.0,0.0
reference_class,elections,1%,1000,617,40981.07,409.81,52.0,0.2182,0.2131,-0.0051,66.0,0.5
reference_class,elections,3%,1000,619,89993.84,899.94,54.1,0.2142,0.2131,-0.0011,55.6,1.14
reference_class,elections,5%,1000,566,26026.58,260.27,53.5,0.2163,0.2131,-0.0031,64.8,0.54
reference_class,elections,10%,1000,508,1024915.15,10249.15,61.0,0.207,0.2131,0.0061,23.1,3.58
calibrated,elections,1%,1000,588,276965.16,2769.65,56.8,0.1944,0.1953,0.0009,47.8,1.56
calibrated,elections,3%,1000,600,564803.47,5648.03,59.0,0.1923,0.1953,0.003,54.2,2.14
calibrated,elections,5%,1000,542,885273.68,8852.74,61.3,0.1906,0.1953,0.0047,44.7,2.9
calibrated,elections,10%,1000,478,480403.69,4804.04,60.7,0.1901,0.1953,0.0052,40.0,2.72
flb,elections,1%,1000,0,0.0,0.0,0.0,0.19476961194263503,0.19530355697559937,0.0,0.0,0.0
flb,elections,3%,1000,0,0.0,0.0,0.0,0.19463416245715787,0.19530355697559937,0.0,0.0,0.0
flb,elections,5%,1000,0,0.0,0.0,0.0,0.19450740008493184,0.19530355697559937,0.0,0.0,0.0
flb,elections,10%,1000,0,0.0,0.0,0.0,0.1942301770051684,0.19530355697559937,0.0,0.0,0.0
reference_class,elections,1%,1000,656,315054.46,3150.54,57.0,0.1943,0.1953,0.001,46.4,1.67
reference_class,elections,3%,1000,639,411463.27,4114.63,56.3,0.1942,0.1953,0.0011,52.0,1.79
reference_class,elections,5%,1000,557,308441.29,3084.41,58.3,0.1935,0.1953,0.0018,35.7,1.73
reference_class,elections,10%,1000,505,865186.72,8651.87,58.2,0.1908,0.1953,0.0045,34.8,2.69
calibrated,elections,1%,1000,618,35354.22,353.54,55.3,0.2051,0.2041,-0.001,66.2,0.75
calibrated,elections,3%,1000,598,48820.83,488.21,55.4,0.2052,0.2041,-0.0011,62.7,0.85
calibrated,elections,5%,1000,565,42796.8,427.97,55.0,0.2032,0.2041,0.0009,44.5,1.08
calibrated,elections,10%,1000,484,212201.47,2122.01,56.8,0.2011,0.2041,0.003,41.9,2.53
flb,elections,1%,1000,0,0.0,0.0,0.0,0.20406669543774647,0.20414482445725962,0.0,0.0,0.0
flb,elections,3%,1000,0,0.0,0.0,0.0,0.20406727717010795,0.20414482445725962,0.0,0.0,0.0
flb,elections,5%,1000,0,0.0,0.0,0.0,0.20407926056605236,0.20414482445725962,0.0,0.0,0.0
flb,elections,10%,1000,0,0.0,0.0,0.0,0.20416045981784758,0.20414482445725962,0.0,0.0,0.0
reference_class,elections,1%,1000,634,27661.33,276.61,54.4,0.2078,0.2041,-0.0037,59.3,0.52
reference_class,elections,3%,1000,637,170107.35,1701.07,54.2,0.2071,0.2041,-0.0029,48.3,1.25
reference_class,elections,5%,1000,581,7633.55,76.34,54.9,0.2064,0.2041,-0.0023,62.9,-0.05
reference_class,elections,10%,1000,493,90086.35,900.86,56.0,0.2031,0.2041,0.001,44.8,1.51
calibrated,elections,1%,1000,635,106660.9,1066.61,57.6,0.2084,0.2111,0.0027,47.6,1.56
calibrated,elections,3%,1000,571,37032.83,370.33,55.5,0.211,0.2111,0.0,70.8,0.93
calibrated,elections,5%,1000,532,113574.41,1135.74,57.0,0.2084,0.2111,0.0027,58.5,1.96
calibrated,elections,10%,1000,464,93072.64,930.73,57.8,0.2075,0.2111,0.0035,58.0,2.09
flb,elections,1%,1000,0,0.0,0.0,0.0,0.21133090669892263,0.21107268171883237,0.0,0.0,0.0
flb,elections,3%,1000,0,0.0,0.0,0.0,0.21143398058968607,0.21107268171883237,0.0,0.0,0.0
flb,elections,5%,1000,0,0.0,0.0,0.0,0.21155154786245328,0.21107268171883237,0.0,0.0,0.0
flb,elections,10%,1000,0,0.0,0.0,0.0,0.21191424244360962,0.21107268171883237,0.0,0.0,0.0
reference_class,elections,1%,1000,634,22297.18,222.97,54.6,0.2162,0.2111,-0.0051,73.7,0.37
reference_class,elections,3%,1000,618,49389.67,493.9,56.0,0.2096,0.2111,0.0014,73.2,0.94
reference_class,elections,5%,1000,572,151801.26,1518.01,57.5,0.2084,0.2111,0.0027,60.3,2.01
reference_class,elections,10%,1000,502,142775.98,1427.76,57.4,0.2073,0.2111,0.0038,63.6,2.24
calibrated,economics,1%,1000,603,4549.13,45.49,52.2,0.2161,0.2105,-0.0056,63.3,-0.37
calibrated,economics,3%,1000,570,-7269.67,-72.7,49.5,0.219,0.2105,-0.0085,84.6,-1.75
calibrated,economics,5%,1000,560,1484.87,14.85,53.8,0.2136,0.2105,-0.0031,59.0,-0.43
calibrated,economics,10%,1000,444,34402.97,344.03,56.8,0.2097,0.2105,0.0008,36.9,1.26
flb,economics,1%,1000,0,0.0,0.0,0.0,0.2106550843102164,0.21049686939959752,0.0,0.0,0.0
flb,economics,3%,1000,0,0.0,0.0,0.0,0.21072704631377662,0.21049686939959752,0.0,0.0,0.0
flb,economics,5%,1000,0,0.0,0.0,0.0,0.21081226166143685,0.21049686939959752,0.0,0.0,0.0
flb,economics,10%,1000,0,0.0,0.0,0.0,0.21108774173724687,0.21049686939959752,0.0,0.0,0.0
reference_class,economics,1%,1000,643,52488.67,524.89,54.9,0.2144,0.2105,-0.0039,73.3,0.74
reference_class,economics,3%,1000,605,37040.97,370.41,54.5,0.2122,0.2105,-0.0017,56.3,0.74
reference_class,economics,5%,1000,574,11837.97,118.38,54.2,0.2139,0.2105,-0.0034,60.2,0.2
reference_class,economics,10%,1000,493,11598.67,115.99,57.2,0.2116,0.2105,-0.0011,61.8,0.34
calibrated,economics,1%,1000,585,335650.17,3356.5,54.7,0.2091,0.2089,-0.0003,60.7,1.97
calibrated,economics,3%,1000,556,72259.04,722.59,52.7,0.2099,0.2089,-0.0011,65.9,0.99
calibrated,economics,5%,1000,533,223415.42,2234.15,56.3,0.2075,0.2089,0.0013,44.9,2.01
calibrated,economics,10%,1000,477,128123.01,1281.23,57.0,0.206,0.2089,0.0029,33.7,2.15
flb,economics,1%,1000,0,0.0,0.0,0.0,0.2090842833877498,0.20886297599222753,0.0,0.0,0.0
flb,economics,3%,1000,0,0.0,0.0,0.0,0.20917455668648596,0.20886297599222753,0.0,0.0,0.0
flb,economics,5%,1000,0,0.0,0.0,0.0,0.2092781625609268,0.20886297599222753,0.0,0.0,0.0
flb,economics,10%,1000,0,0.0,0.0,0.0,0.20960093009078182,0.20886297599222753,0.0,0.0,0.0
reference_class,economics,1%,1000,632,87865.37,878.65,54.3,0.2137,0.2089,-0.0048,69.2,1.05
reference_class,economics,3%,1000,627,112717.09,1127.17,54.2,0.2124,0.2089,-0.0035,78.0,1.24
reference_class,economics,5%,1000,584,108706.38,1087.06,57.0,0.2089,0.2089,-0.0,53.2,1.59
reference_class,economics,10%,1000,488,127044.39,1270.44,58.2,0.2065,0.2089,0.0024,45.4,2.19
calibrated,economics,1%,1000,637,6374.89,63.75,54.3,0.205,0.2005,-0.0045,62.9,-0.15
calibrated,economics,3%,1000,574,69997.38,699.97,57.1,0.1999,0.2005,0.0006,43.1,1.49
calibrated,economics,5%,1000,531,103565.08,1035.65,58.0,0.199,0.2005,0.0015,40.0,1.79
calibrated,economics,10%,1000,470,261415.78,2614.16,59.6,0.1954,0.2005,0.0051,31.2,3.05
flb,economics,1%,1000,0,0.0,0.0,0.0,0.20024474186512328,0.20048476619606675,0.0,0.0,0.0
flb,economics,3%,1000,0,0.0,0.0,0.0,0.20019634225891247,0.20048476619606675,0.0,0.0,0.0
flb,economics,5%,1000,0,0.0,0.0,0.0,0.20015808175313993,0.20048476619606675,0.0,0.0,0.0
flb,economics,10%,1000,0,0.0,0.0,0.0,0.20011158053567057,0.20048476619606675,0.0,0.0,0.0
reference_class,economics,1%,1000,653,103804.16,1038.04,55.7,0.2033,0.2005,-0.0028,40.9,1.22
reference_class,economics,3%,1000,603,-342.08,-3.42,51.1,0.2041,0.2005,-0.0036,71.2,-0.61
reference_class,economics,5%,1000,585,144375.13,1443.75,57.6,0.1991,0.2005,0.0013,44.1,1.87
reference_class,economics,10%,1000,512,231524.2,2315.24,60.7,0.1961,0.2005,0.0044,33.7,2.9
calibrated,economics,1%,1000,623,62404.13,624.04,55.9,0.1994,0.1996,0.0002,46.7,0.91
calibrated,economics,3%,1000,583,579997.92,5799.98,55.9,0.1968,0.1996,0.0028,55.1,2.13
calibrated,economics,5%,1000,560,170329.0,1703.29,53.8,0.1963,0.1996,0.0033,54.6,1.52
calibrated,economics,10%,1000,479,1042637.33,10426.37,60.3,0.1943,0.1996,0.0053,38.7,3.46
flb,economics,1%,1000,0,0.0,0.0,0.0,0.19942564938036036,0.19958091277121828,0.0,0.0,0.0
flb,economics,3%,1000,0,0.0,0.0,0.0,0.1994050077288629,0.19958091277121828,0.0,0.0,0.0
flb,economics,5%,1000,0,0.0,0.0,0.0,0.199396197650768,0.19958091277121828,0.0,0.0,0.0
flb,economics,10%,1000,0,0.0,0.0,0.0,0.1994313792221389,0.19958091277121828,0.0,0.0,0.0
reference_class,economics,1%,1000,628,111690.71,1116.91,55.3,0.1977,0.1996,0.0019,51.9,1.45
reference_class,economics,3%,1000,637,29880.01,298.8,53.4,0.2038,0.1996,-0.0042,64.7,0.05
reference_class,economics,5%,1000,597,24573.81,245.74,53.4,0.2012,0.1996,-0.0016,65.8,0.4
reference_class,economics,10%,1000,478,128759.75,1287.6,56.5,0.1951,0.1996,0.0044,42.6,1.85
calibrated,economics,1%,1000,621,6701.45,67.01,53.8,0.2091,0.2053,-0.0038,73.8,-0.22
calibrated,economics,3%,1000,563,27624.3,276.24,56.3,0.206,0.2053,-0.0007,55.8,0.7
calibrated,economics,5%,1000,556,376556.56,3765.57,59.4,0.2018,0.2053,0.0035,33.6,2.77
calibrated,economics,10%,1000,479,82602.67,826.03,59.5,0.2034,0.2053,0.0019,37.3,1.98
flb,economics,1%,1000,0,0.0,0.0,0.0,0.2052572535784291,0.2053022048122129,0.0,0.0,0.0
flb,economics,3%,1000,0,0.0,0.0,0.0,0.20526892888960363,0.2053022048122129,0.0,0.0,0.0
flb,economics,5%,1000,0,0.0,0.0,0.0,0.20529278274503837,0.2053022048122129,0.0,0.0,0.0
flb,economics,10%,1000,0,0.0,0.0,0.0,0.2054111094807203,0.2053022048122129,0.0,0.0,0.0
reference_class,economics,1%,1000,657,28260.95,282.61,53.1,0.2138,0.2053,-0.0085,63.4,0.23
reference_class,economics,3%,1000,628,171372.39,1713.72,57.0,0.2055,0.2053,-0.0002,47.4,1.48
reference_class,economics,5%,1000,580,9562.88,95.63,55.5,0.2069,0.2053,-0.0016,58.3,0.13
reference_class,economics,10%,1000,509,114077.2,1140.77,58.3,0.204,0.2053,0.0013,35.9,1.61
calibrated,sports,1%,1000,600,4186.41,41.86,54.2,0.212,0.2108,-0.0012,59.5,-0.2
calibrated,sports,3%,1000,599,21407.21,214.07,55.1,0.2118,0.2108,-0.001,53.0,0.53
calibrated,sports,5%,1000,553,39782.71,397.83,56.4,0.2077,0.2108,0.0032,47.7,1.13
